,Event,Time,Temperature,Time_subseconds,Date,Time_round,Time_in_seconds
158,TEMPERATURE_ON,17:45:37.791,1001,63937.791107,2024-06-08,17:45:38,63938
159,TEMPERATURE_OFF,17:45:38.146,1009,63938.146301,2024-06-08,17:45:38,63938
160,TOUCH_ON,17:45:38.269,0,63938.269058,2024-06-08,17:45:38,63938
161,TOUCH_OFF,17:45:39.183,0,63939.183762,2024-06-08,17:45:39,63939
162,TEMPERATURE_ON,17:45:38.269,1001,63938.269058,2024-06-08,17:45:38,63938
163,TEMPERATURE_OFF,17:45:39.183,1009,63939.183762,2024-06-08,17:45:39,63939
164,PUFF_ON,17:45:44.002,0,63944.002533,2024-06-08,17:45:44,63944
165,PUFF_OFF,17:45:47.158,0,63947.158005,2024-06-08,17:45:47,63947
166,TEMPERATURE_ON,17:45:44.002,1001,63944.002533,2024-06-08,17:45:44,63944
167,TEMPERATURE_OFF,17:45:47.158,1009,63947.158005,2024-06-08,17:45:47,63947
168,TOUCH_ON,17:45:47.562,0,63947.562439,2024-06-08,17:45:48,63948
169,TOUCH_OFF,17:45:51.896,0,63951.896408,2024-06-08,17:45:52,63952
170,TEMPERATURE_ON,17:45:47.562,1001,63947.562439,2024-06-08,17:45:48,63948
171,TEMPERATURE_OFF,17:45:51.896,1009,63951.896408,2024-06-08,17:45:52,63952
172,TOUCH_ON,17:46:22.936,0,63982.936691,2024-06-08,17:46:23,63983
173,TOUCH_OFF,17:46:24.134,0,63984.134354,2024-06-08,17:46:24,63984
174,TEMPERATURE_ON,17:46:22.936,1001,63982.936691,2024-06-08,17:46:23,63983
175,TEMPERATURE_OFF,17:46:24.134,1009,63984.134354,2024-06-08,17:46:24,63984
176,PUFF_ON,17:46:42.256,0,64002.25621,2024-06-08,17:46:42,64002
177,PUFF_OFF,17:46:42.256,0,64002.25621,2024-06-08,17:46:42,64002
178,TEMPERATURE_ON,17:46:42.256,1002,64002.25621,2024-06-08,17:46:42,64002
179,TEMPERATURE_OFF,17:46:42.256,1009,64002.25621,2024-06-08,17:46:42,64002
180,PUFF_ON,17:47:14.252,0,64034.252472,2024-06-08,17:47:14,64034
181,PUFF_OFF,17:47:14.252,0,64034.252472,2024-06-08,17:47:14,64034
182,TEMPERATURE_ON,17:47:14.252,1002,64034.252472,2024-06-08,17:47:14,64034
183,TEMPERATURE_OFF,17:47:14.252,1009,64034.252472,2024-06-08,17:47:14,64034
184,TOUCH_ON,19:53:48.670,0,71628.670258,2024-06-08,19:53:49,71629
185,TOUCH_OFF,19:53:50.928,0,71630.928909,2024-06-08,19:53:51,71631
186,TEMPERATURE_ON,19:53:48.670,1002,71628.670258,2024-06-08,19:53:49,71629
187,TEMPERATURE_OFF,19:53:50.928,1009,71630.928909,2024-06-08,19:53:51,71631
188,PUFF_ON,19:53:53.781,0,71633.781647,2024-06-08,19:53:54,71634
189,PUFF_OFF,19:53:54.793,0,71634.793472,2024-06-08,19:53:55,71635
190,TEMPERATURE_ON,19:53:53.781,999,71633.781647,2024-06-08,19:53:54,71634
191,TEMPERATURE_OFF,19:53:54.793,1009,71634.793472,2024-06-08,19:53:55,71635
192,PUFF_ON,19:54:01.935,0,71641.935608,2024-06-08,19:54:02,71642
193,PUFF_OFF,19:54:01.937,0,71641.937378,2024-06-08,19:54:02,71642
194,TEMPERATURE_ON,19:54:01.935,999,71641.935608,2024-06-08,19:54:02,71642
195,TEMPERATURE_OFF,19:54:01.937,1009,71641.937378,2024-06-08,19:54:02,71642
196,TOUCH_ON,19:56:33.020,0,71793.020905,2024-06-08,19:56:33,71793
197,TOUCH_OFF,19:56:41.790,0,71801.790955,2024-06-08,19:56:42,71802
198,TEMPERATURE_ON,19:56:33.020,999,71793.020905,2024-06-08,19:56:33,71793
199,TEMPERATURE_OFF,19:56:41.790,1009,71801.790955,2024-06-08,19:56:42,71802
200,TOUCH_ON,19:56:41.899,0,71801.899658,2024-06-08,19:56:42,71802
201,TOUCH_OFF,19:56:42.008,0,71802.008926,2024-06-08,19:56:42,71802
202,TEMPERATURE_ON,19:56:41.899,999,71801.899658,2024-06-08,19:56:42,71802
203,TEMPERATURE_OFF,19:56:42.008,1009,71802.008926,2024-06-08,19:56:42,71802
204,PUFF_ON,20:27:08.013,0,73628.013062,2024-06-08,20:27:08,73628
205,PUFF_OFF,20:27:08.013,0,73628.013062,2024-06-08,20:27:08,73628
206,TEMPERATURE_ON,20:27:08.013,1002,73628.013062,2024-06-08,20:27:08,73628
207,TEMPERATURE_OFF,20:27:08.013,1009,73628.013062,2024-06-08,20:27:08,73628
208,PUFF_ON,20:29:21.378,0,73761.378677,2024-06-08,20:29:21,73761
209,PUFF_OFF,20:29:21.378,0,73761.378677,2024-06-08,20:29:21,73761
210,TEMPERATURE_ON,20:29:21.378,1003,73761.378677,2024-06-08,20:29:21,73761
211,TEMPERATURE_OFF,20:29:21.378,1009,73761.378677,2024-06-08,20:29:21,73761
212,TOUCH_ON,20:31:42.639,0,73902.639877,2024-06-08,20:31:43,73903
213,TOUCH_OFF,20:31:43.281,0,73903.281281,2024-06-08,20:31:43,73903
214,TEMPERATURE_ON,20:31:42.639,1003,73902.639877,2024-06-08,20:31:43,73903
215,TEMPERATURE_OFF,20:31:43.281,1009,73903.281281,2024-06-08,20:31:43,73903
216,TOUCH_ON,20:31:43.636,0,73903.636932,2024-06-08,20:31:44,73904
217,TOUCH_OFF,20:31:43.786,0,73903.786652,2024-06-08,20:31:44,73904
218,TEMPERATURE_ON,20:31:43.636,1003,73903.636932,2024-06-08,20:31:44,73904
219,TEMPERATURE_OFF,20:31:43.786,1009,73903.786652,2024-06-08,20:31:44,73904
220,PUFF_ON,20:31:47.138,0,73907.138138,2024-06-08,20:31:47,73907
221,PUFF_OFF,20:31:47.139,0,73907.139755,2024-06-08,20:31:47,73907
222,TEMPERATURE_ON,20:31:47.138,999,73907.138138,2024-06-08,20:31:47,73907
223,TEMPERATURE_OFF,20:31:47.139,1008,73907.139755,2024-06-08,20:31:47,73907
224,TOUCH_ON,20:32:28.670,0,73948.670929,2024-06-08,20:32:29,73949
